ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
GEV,Industrials,132,50,-0.0031185679261268584,-0.06694032791517873
VICI,Real Estate,132,2,-0.0005658866733726509,-0.07875087327517598
MNST,Consumer Staples,132,8,-0.0009735204007040865,-0.07953302636507698
CNC,Health Care,132,55,-0.005207508308010089,-0.09778791887299516
HOOD,Financials,132,73,-0.0068786620401858345,-0.09861510915138488
DUK,Utilities,132,7,-0.0012438820936183648,-0.10544562729976575
HWM,Industrials,132,7,-0.0008645658962761482,-0.10548598299301241
GNRC,Industrials,132,43,-0.005722835324326603,-0.11495511769077252
CCL,Consumer Discretionary,132,70,-0.00802490284836943,-0.13793048420745324
HII,Industrials,132,17,-0.004357664298673902,-0.14357988401400257
HPQ,Information Technology,132,49,-0.00607480059681631,-0.16572653878889818
ETN,Industrials,132,25,-0.005397503653425506,-0.17429787440368624
DPZ,Consumer Discretionary,132,6,-0.0014624417130640888,-0.18076661388139315
APP,Information Technology,132,77,-0.01036742371484456,-0.18139785922867585
AIG,Financials,132,3,-0.001330641887805073,-0.1835142217002736
XYZ,Financials,132,48,-0.007937156831575143,-0.19756551893304847
ORLY,Consumer Discretionary,132,7,-0.0036249900266206447,-0.201244746938526
LYB,Materials,132,54,-0.01021814178026792,-0.25375656084517884
TPL,Energy,132,71,-0.012765371903418199,-0.25952123680890116
ARES,Financials,132,69,-0.01238201316951959,-0.26088415991136055
EVRG,Utilities,132,6,-0.0031835660957277856,-0.26839150651984356
BRO,Financials,132,8,-0.0034860881737613925,-0.26875876015042766
LVS,Consumer Discretionary,132,13,-0.003045973637921473,-0.27390708476887593
FISV,Financials,132,35,-0.007268080332342275,-0.27434859047708576
UPS,Industrials,132,4,-0.002145293695771433,-0.27470752408543675
EMR,Industrials,132,4,-0.0015263817200721341,-0.2773693584971785
PRU,Financials,132,3,-0.0021938335425953914,-0.27763858377286943
